Year_Month,Card_type,Line,Trip
Nov-16,Senior/Pensioner,F2 Taronga Zoo,10293
Nov-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,3910
Nov-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,594
Nov-16,Adult,F3 Parramatta River,199141
Nov-16,Child/Youth,F3 Parramatta River,16443
Nov-16,Concession,F3 Parramatta River,4344
Nov-16,Employee,F3 Parramatta River,1059
Nov-16,Free Travel,F3 Parramatta River,423
Nov-16,School Student,F3 Parramatta River,600
Nov-16,Senior/Pensioner,F3 Parramatta River,42117
Nov-16,Sgl Trip Ferry Adult,F3 Parramatta River,8344
Nov-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1157
Nov-16,Adult,F4 Darling Harbour,114070
Nov-16,Child/Youth,F4 Darling Harbour,13663
Nov-16,Concession,F4 Darling Harbour,2534
Nov-16,Employee,F4 Darling Harbour,682
Nov-16,Free Travel,F4 Darling Harbour,290
Nov-16,School Student,F4 Darling Harbour,215
Nov-16,Senior/Pensioner,F4 Darling Harbour,23674
Nov-16,Sgl Trip Ferry Adult,F4 Darling Harbour,8431
Nov-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,1123
Nov-16,Adult,F5 Neutral Bay,38033
Nov-16,Child/Youth,F5 Neutral Bay,1244
Nov-16,Concession,F5 Neutral Bay,1033
Nov-16,Employee,F5 Neutral Bay,257
Nov-16,Free Travel,F5 Neutral Bay,76
Nov-16,School Student,F5 Neutral Bay,38
Nov-16,Senior/Pensioner,F5 Neutral Bay,10776
Nov-16,Sgl Trip Ferry Adult,F5 Neutral Bay,1271
Nov-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,143
Nov-16,Adult,F6 Mosman Bay,58058
Nov-16,Child/Youth,F6 Mosman Bay,2403
Nov-16,Concession,F6 Mosman Bay,1706
Nov-16,Employee,F6 Mosman Bay,463
Nov-16,Free Travel,F6 Mosman Bay,117
Nov-16,School Student,F6 Mosman Bay,81
Nov-16,Senior/Pensioner,F6 Mosman Bay,14775
Nov-16,Sgl Trip Ferry Adult,F6 Mosman Bay,1305
Nov-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,177
Nov-16,Adult,F7 Eastern Suburbs,110594
Nov-16,Child/Youth,F7 Eastern Suburbs,5232
Nov-16,Concession,F7 Eastern Suburbs,2478
